Name,Nummer
"Moutier, Hôtel de Ville",8500680
Etoy,8501042
"Le Cerneux-Péquignot, Le Creux",8571809
"Basel, Waldenburgerstrasse",8589372
"Basel, Schützenhaus",8589360
"Basel, Riehenring",8589352
"Basel, Wanderstrasse",8589373
"Basel, Kunstmuseum",8589336
Leimbach AG,8502166
Oberrüti,8502219
Steinhausen,8502227
Hendschiken,8502211
St. Gallen Bruggen,8506301
"Davos Platz, Islen",8574832
Heerbrugg,8506317
Horn,8506307
"Basel, Tinguely Museum",8589371
Rorschach Hafen,8506306
Urnäsch,8506283
"Saas-Almagell, Dorfplatz",8501780
Sutz,8504472
"Luzern, Hochhüsliweid",8589797
"Engi, Hinterdorf",8503273
"Egerkingen, Bifang",8507326
Les Planches (Aigle),8501473
Kaltenbrunnen bei Meiringen,8508981
"Panex, La Croisée",8570613
"Riein, vitg",8575050
"Lyssach, Bernstrasse (Ikea)",8587813
Zürich Oerlikon Süd (Abzw),8516145
Zug Landsgemeindeplatz (See),8502246
Zug Oberwil,8502231
"Genève-Aéroport, gare routière",8502056
"Satigny, Centre sportif",8595228
"Kempten, Pfadacher",8595263
"Schwyz, St. Martinstrasse",8592419
Zürich Wollishofen (See),8503681
"Gammen, Schulhaus",8504180
"Ennetmoos, Rohren",8506666
"Ursins, Le Battoir",8507966
"Nürensdorf, Zentrum",8595267
"Auslikon, Ober Balm",8595261
"Kriens, Dattenberg",8589700
"Frenkendorf, Schule Egg",8589403
"Horw, Seefeld",8589696
"Lausen, Bettleten",8589412
"Füllinsdorf, Friedhofweg",8589404
"Rheinfelden, Dianapark",8589430
Aemsigen,8508449
"Bern, Mühlenplatz",8590112
"Ronco (Gambarogno), Str. Lozze",8575555
"Laufenburg, Werkstrasse",8582053
"Visperterminen, Chlei Derfji",8582444
"Eichholz, Guglera",8504949
"Wattwil, Wis",8578585
"Killwangen, Mühlehalde",8590240
Iseltwald (See),8508379
"Mellikon, Bahnhof",8510452
"Domat/Ems, Quadras",8511149
"Pfäfers, Eselrank",8574559
"Eschenbach SG, Lettengasse",8578558
"Jona, St. Dionys",8578533
"Teufen ZH, Schloss",8573217
"Muri AG, Bahnhof",8572744
"Willisau, Schlüsselacher",8572790
"St. Urban, Tundwilerweg",8572785
"Zell LU, St. Urbanstrasse",8572769
"Wädenswil, Schwanen",8573576
"Schlatt TG, Held",8573490
"Pfäffikon ZH, Ruetschbergstr.",8573502
"Ederswiler, Jurastrasse",8571988
"Wagen, St. Wendelin",8578535
"Wittnau, alte Post",8500793
"Jona, Feldli",8578530
"Kirchberg SG, Neudorf",8578517
"Wattwil, Spital",8578554
"Naters, Tschill-Bammatte",8578503
"Buchserberg, Berghaus",8595259
"Splügen, Abzw. Suretta Seen",8574536
"Meilen, Roren",8588031
"Innerberg BE, Weidhaus",8571351
"Saas-Grund, Zenlauinen",8571194
"Oeschenbach, Bleuen",8571552
Zwirgi,8571587
Nagens,8530780
"Liestal, Kantonsspital",8578318
"Arboldswil, Dorf",8578335
"Frenkendorf, Mühlacker",8589402
"Langnau i.E., Sonnegg",8588355
"Lausen, Furlenboden",8589414
"Basel, Zwinglihaus",8589383
"Liestal, Fraumatt",8589420
"Liestal, Kessel",8589425
"Liestal, Elektra",8589419
"Kriens, Mattenhof",8589721
"Schwyz, Mettli",8577475
"Schwyz, Steisteg",8577432
Frutigen,8507478
"Pratteln, Hülften",8578315
"Kriens, Oberkuonimatt",8589731
"Kriens, Nidfeld",8589726
"Giebenach, Rainweg",8578346
"Pratteln, Krummeneich",8578355
Usser Isch (Bergstation),8531087
"Kriens, Kupferhammer",8589723
"Kriens, Grosshofstrasse",8589712
"Kriens, Hofmatt-Bellpark",8589715
"Kloten, Balsberg Hardacher",8573214
Sergey,8579102
"Pratteln, Gehrenacker",8578354
"Kriens, Bergstrasse",8589699
"Pratteln, Schlossstrasse",8578352
"Birsfelden, Schulstrasse",8578340
"Raron, Industrie",8596009
"Payerne, Grand'Rue",8557138
"Bussy-sur-Moudon, village",8570358
"Basse-Nendaz, Saclentz",8570862
"Arosa, Bahnhof",8594670
"Mühlebach (Goms), Dorf",8505745
"Estavayer-le-Lac, Esserpis",8511053
"Steinmaur, Obersteinmaur",8573273
"Brione s. Minusio, Cimitero",8578988
"Le Crêt-du-Locle,rte cantonale",8579002
Flumserberg Obersäss (Talst.),8530963
"Lucens, Pré au Loup",8557079
"Trin Mulin, Crestasee",8509723
"Pratteln, Bahnhof Süd",8578351
"Arboldswil, Mühletal",8578333
"Liestal, Altmarkt",8578321
"Reigoldswil, Linde",8578330
"Schleitheim, Schweizerbund",8578363
"Ziefen, Hofmatt",8578327
"Luzern, Rönnimoosrain",8589763
"Luzern, Berglistrasse",8589768
"Luzern, Blattenmoos",8589757
"Luzern, Eggen",8589779
"Pfeffingen, Bellevue",8578234
"Münsingen, Allmendweg",8578970
"Massagno, Sassa",8579000
"Kriens, Obere Dattenbergstrasse",8589727
"Kriens, Josef Schryberstrasse",8589717
"Liestal, Heidenloch",8589422
"Kriens, Eichenspes",8589704
"Kriens, Sidhalde",8589739
"Liestal, Industriestrasse",8589423
"Luzern, Littau Dorf",8589750
"Luzern, Ruopigen Zentrum",8589753
"Corseaux, Chatacombe",8579155
"Arboldswil, Renggelts",8578334
"Ziefen, Mühlegasse",8578326
Baldegg,8502025
La Lance (diag),8515758
Wengi,8507479
"Gadmen, Saageli",8571606
"Pratteln, Rankacker",8578356
Emmenbrücke Gersag,8502028
Aarau,8502113
"Moosleerau, Abzw.",8502097
"Wittwil, Käserei",8502089
"Buchserberg, Hölzig Alvier",8595256
Arbon,8506308
Gelfingen,8502026
Hochdorf,8502024
Hitzkirch,8502027
Räfis-Burgerau,8509405
St. Margrethen SG,8506314
Rheineck,8506313
Walterswil-Striegel,8502121
"Reigoldswil, Bütschen",8578329
"La Sage, Plan de la Sage",8570919
"Pratteln, Schloss",8578353
"La Sarraz, centre",8570144
"S-chanf, Parc Naziunal",8587852
"Porrentruy, St-Michel",8557072
"Molare, Stella Alpina",8580118
"Wollerau, Ried",8588338
"Luzern, Dreilinden",8589778
"Trub, Loos",8588409
"Eggiwil, Schwelli",8588372
"Cernier, Bois du Pâquier",8579609
Landeyeux,8579604
Hunzenschwil,8502104
"Russo, Ai Mundaa",8502466
"Grenchen, Sportstrasse",8594144
Schönbühl RBS,8508057
Wiedlisbach,8500287
Schönenwerd SO,8502112
"Wädenswil, Chotten",8573582
Winterthur,8506000
"Cortaillod, Chanélaz",8579641
"Luzern, Kanonenstrasse",8589800
"Bern, Kocherpark",8579897
"Fidaz, Scheia",8510821
"Luzern, Geissenstein",8589787
"Luzern, Eisfeldstrasse",8589780
Bettmeralp (Blausee),8530943
"Wyssachen, Mösli",8571570
Lenk im Simmental,8507279
"Paradiso, Calprino",8575301
"Barbengo, Campagnore",8575299
"Lovens, Les Esserts",8577795
"Luterbach, Reformierte Kirche",8578133
"Mammern, Bahnhofstrasse",8594965
"Biel/Bienne, Südstrasse/Rue du Midi",8593378
"Unterendingen, Dorf",8503583
"La Côte-aux-Fées,Les Bourquins",8504543
"Luzern, Leumatt",8589808
"St. Gallen, Lindenstrasse",8589597
"Luzern, Oberseeburg",8589821
"St. Gallen, Gröblistrasse",8589578
"Root, Wiesstrasse",8505431
"St. Gallen, St. Fiden Zentrum",8589629
"St. Gallen, Stephanshorn",8589631
"St. Gallen, Lerchenfeld",8589596
"St. Gallen, Storchenstrasse",8589633
"Ziefen, Diegmatt",8578325
"Au SG, Oberdorf",8578429
"Stein am Rhein, Untertor",8578398
"St. Gallen, Iddastrasse",8589589
"St. Gallen, Oberstrasse",8589604
"St. Gallen, Industriestrasse",8589590
"St. Gallen, Rosenbergstrasse",8589611
"St. Gallen, Uni/Gatterstrasse",8589575
"Ebikon, Höfli",8589663
"St. Gallen, Schlössli",8589621
"Au SG, Gemeindehaus",8578428
"Neuhausen, Scheidegg",8578377
"Appenzell, Bahnhof",8578423
"Lenzburg, Traitafina",8578695
"Au SG, Zinggen",8578430
"Stein am Rhein, Strandbad",8578399
"Heiligenschwendi,Unt.-Eichholz",8576563
Carjöl,8531086
"Beringen, Beringerfeld",8578374
"Weissbad, Bötz",8578411
"Ostermundigen, Waldheimstrasse",8590071
"Windisch, Weiermatt",8500787
"Steffisburg, Fuchsloch",8571713
Etzwilen,8506025
"Bottmingen, Sichelweg",8589977
Altenrhein Schifflände,8506467
"Kirchdorf BE, Post",8507714
"Perroy, Vinicole",8570041
"Naters, Weingarten",8578410
"Chur, Postplatz",8595592
"Neuchâtel, La Coudre",8595248
"Le Pâquier NE, Crêt-du-Puy",8502479
"Zürich Wollishofen, Bahnhof",8502495
Kölliken Oberdorf,8502122
"St. Gallen, Obere Leimat",8589603
"St. Gallen, Rotmonten",8589613
"St. Gallen, Uni/Dufourstrasse",8589637
"Niederlenz, Staufbergstrasse",8578694
"St. Gallen, Schachenbüel",8589618
"St. Gallen, Ruhbergstrasse",8589615
"St. Gallen, Vonwil",8589640
"Adligenswil, Dorf",8589650
"Trasadingen, Langwis",8578380
"Hintergoldingen, Sonne",8503387
"Hinwil, Hadlikon",8503190
"Le Locle, Côte de la Jaluse",8593737
"Hoffeld, Strickwald",8506053
"Helgisried-Rohrbach, Säge",8571700
"Rubigen, Hunzigenbrügg",8588260
St. Gallen GB,8506340
Zürich Altstetten Farbhof,8515451
"Coeuve, rte de Porrentruy",8572068
"Gümligen, Moosstrasse",8595603
"Winterthur, Ziegelhütte",8573661
"Lenk, Gutenbrunnen",8595620
"St. Moritz Bad, Via Salet",8590456
Rorschach Stadt,8506322
"Delémont, rte de Porrentruy",8572010
"Grindel, Oberdorf",8572173
"Tobel-Affeltrangen, Bahnhof",8573622
"Turbenthal, Kellersacker",8573644
"St. Gallen, Westcenter",8589644
"St. Gallen, Wilen",8589645
"Kastanienbaum, Krämerstein",8589682
"Emmenbrücke, Viscosistadt",8589670
"St. Niklausen LU, Mättiwil",8589685
"Ebikon, Ladengasse",8589664
"Horw, Rank",8589687
"Thusis, Bahnhof",8580179
"Etzgen, Schulhaus",8580165
"Adligenswil, Luegisland",8589652
"Ebikon, Mühlegg",8589666
"Ebikon, Weichlen",8589665
"Bütschwil, Hofwiesen",8580489
"Turbach, Fängli",8580540
"Netstal, Gemeinde",8580502
"Willerzell, Stöfeli",8580525
"Sulz AG, Milchhüsli",8580575
"Kirchdorf BE, Dorfstrasse",8580568
"Grossaffoltern, Reuenberg",8571465
"Möriken AG, Steinler",8578691
"Guntmadingen, Oberneuhaus",8578395
"Lenzburg, Volg",8578697
Gontenschwil Ost,8519702
"Kastanienbaum, Kreuzmatt",8589683
Chavannes,8504241
Rinderhütte (Torrentalp),8530915
Bern Wyler,8519030
"Basel, Kleinhüningen (Vzw)",8519571
Pasquerio (bin rac),8517498
"Ecuvillens, Champ du Nod",8577774
"Waltenschwil, Hessel",8502711
"Zofingen, Schwimmbad",8589206
"Le Mont-sur-Lausanne, Coppoz",8579235
Wichtrach,8507007
"Oberwil BL, Hohestrasse",8588714
"La Comballaz, L'Ortier",8573653
"Ebikon, Gerbe",8589659
"Buchrain, Kirchbreite",8589656
"Emmenbrücke, Krauerstrasse",8589671
"Delémont, Voirnet",8580606
"Couvet, hôpital",8580386
"Wohlen AG, Wehrlistrasse",8580372
Condémines,8570848
"Ballaigues, Vers-chez-Barrat",8579094
"Dürrenäsch, Dorf",8578719
"St. Margrethen SG, Heldsberg",8578427
"Uetendorf, Hofmättli",8581787
"Schaffhausen, Unterdorf",8502518
"Amsteg, Post",8505667
"Delémont, Av. de la gare",8571982
Plan-Francey,8504749
"Le Prévoux, Bas Du Prévoux",8571805
"Lignières, Moulin Navilot",8571922
"Heimisbach, Furlimatt",8571540
"Appenzell, Zentrale",8578424
"Teufenthal AG, Bahnhof",8578725
"Dürrenäsch, Unterdorf",8578720
"Staufen, Chrüzweg",8578700
"Appenzell, Schönenbüel",8578425
"Horw, Steinen",8589691
"Adligenswil, Rigiblick",8589653
"St. Gallen, Wolfganghof",8589648
"St. Niklausen LU, Langensand",8589684
"Bern, Pestalozzi",8590012
"Gstaad, Hotel Bellerive",8580419
"Bülach, Schuemacher",8580625
"Laufen, Wahlenstrasse",8580734
"Oberwil BL, Langegasse",8589983
"Hildisrieden, Waldmatt",8589988
"Spiegel, Weidli",8589998
"Spiegel, Hohliebe",8589995
"Horw, Technikumstrasse",8589693
"Biel/Bienne, Räblus Vingelz/Räblus Vigneules",8589962
"Oberwil BL, Bottmingerstrasse",8589982
"Bern, Munzinger",8590013
"Orvin, Petit-Moulin",8589965
"Hildisrieden, Dorf",8589987
"Oberwil BL, Hallenrain",8589979
"Bern, Wander",8589993
Bettenalp,8531431
"Staufen, Beyeler",8578698
"Heimisbach, Sternen",8571543
"Bruzella, Cimitero",8580067
"Courtételle, Eglise",8502490
"Vaduz, Städtle",8581000
"St. Niklausen LU, Unterwil",8589689
"Kastanienbaum, Waldwinkel",8589695
"Gümmenen, Stutz",8571451
"Piotta, Cresta",8575708
"Airolo, Bivio per Nante",8575696
"Tüscherz, Dorfweg",8589967
"Spiegel, Spiegel",8589996
"Bern, Fischermätteli",8590014
"Bern, Henkerbrünnli",8590027
"Liesberg, Bebrunnenmatten",8580942
"Mastrils, Isla",8580957
"Gossau SG, Lerchenstrasse",8580938
"Naters, Rafji",8580964
"Sagno, Paese",8575651
"Thayngen, Weierli",8573493
"Bern, Bitziusstrasse",8590003
"Bern, Sonnenhof",8590019
"Bern, Kaufmännischer Verband",8590009
"L'Auberson, ch. du Carre",8593783
Le Tremblex,8501363
"Mund, untere Wartfluh",8580963
"Freienbach, Oechsli",8581270
"Schwarzenburg, Zelg",8581121
"Giornico, Parondino",8581318
"Isenthal, Luss",8581321
"Bern, Stöckacker (Tram)",8590043
"Bern, Güterbahnhof",8590025
"Bern, Brunnhof",8590010
"Bern, Schönegg",8590022
"Oberscherli, Haltlirain",8581385
"Pfäfers, Altes Bad",8581602
"Leggia, Redivolo",8575235
"Russikon, Morgenthal",8573511
"Luzern, Steinhofrain",8589839
"Lenzburg, Bachstrasse",8578732
"Lenzburg, Angelrain",8578746
"Felsberg, Bahnhofstrasse",8572784
"Bern, Jaunweg",8590024
"Bern, Ka-We-De",8590060
"Ostermundigen, Oberfeld",8590051
"Mauborget, Les Pièces",8502505
"Mervelier, Chapelle",8502484
"Areuse, giratoire",8502498
"Brittnau, Ausserdorf",8502353
Schönegg,8502291
"Lenzburg, Autobahn-Viadukt",8578696
"Egliswil, Zopf",8578705
"Boniswil, Bahnhof",8578712
"Lenzburg, Schule Lenzhard",8578737
"Boniswil, Alte Schmiede",8578711
"Lenzburg, Fünfweiher",8578754
"Bettwil, Chäsiplatz",8578770
"Glis, Napoleon",8578778
"Boveresse, temple",8504734
St. Gallen Spisertor,8506358
"Vernamiège, village",8570938
"Autigny, Le Bas",8570501
"Meisterschwanden, Delphinweg",8578767
"Seengen, Brestenberg",8578764
"Baldingen, Mitteldorf",8578787
"Schafisheim, Coop",8578742
"Fehraltorf, Zelgli",8573510
"Mörschwil, Altes Gemeindehaus",8581395
"Wikon, Kreuzung",8502398
"Luzern, Zumbachhof",8589853
"Bad Zurzach, Seesteg",8578781
"Luzern, Weinbergli",8589846
"Winterthur, Rosenberg",8581701
"Winterthur, Hegi im Gern",8581755
"Kleinlützel, Schulhaus",8581731
"Obernau, Hammerschmiede",8589860
"Luzern, St. Karli",8589836
"Luzern, Fluhmühle",8589861
"Mühledorf SO, Sternen",8571494
"La Chaux-du-Milieu, Clef-d'Or",8571824
"Ste-Croix, gare",8571788
"Le Fuet, poste",8571940
"Fribourg, Veveyse",8589160
"Oberscherli, Dorf",8571419
"Zimmerwald, Kirche",8571408
"Ottikon (Gossau),Herschmettlen",8587989
"Féchy, Cassivettes",8570044
"Root, Wilweg",8589864
"Altreu, Mitte",8589876
"St. Gallen, Hechtacker",8589897
"Attiswil, Post",8589915
"St. Gallen, Bernhardswies",8589898
"Kirchberg BE, Neuhof Süd",8589910
"Selzach, Passionsplatz",8589878
"Lommiswil, Bahnhofstrasse",8589881
"Langenthal, Gaswerkstrasse",8589933
"Altreu, Info Zentrum Witi",8589875
"Mels, Oberheiligkreuz",8589893
"Pully,Centre Sportif Rochettaz",8595191
Versmont,8501725
"Rothrist, Gemeindehaus",8502365
"Richenthal, Post",8502389
"Glarus, Kantonsschule/Spital",8580494
"Zofingen, Spital",8502369
"Worben, Bad",8576434
"Lommiswil, Kirche",8589882
"Cernier, Evologia",8589889
"Bronschhofen, Bildfeld Mitte",8589925
"Weite, alte Gasse",8589892
"Selzach, Bäriswil",8589880
"Langenthal, Elzmatte",8589931
"Egerkingen, Gäupark Kreisel",8589883
"St. Gallen, Mühlegg Talstation",8589913
"Lausanne, Barre",8591982
"Hirzel, Spitzen",8573565
"Neggio, Paese",8505764
"Engelberg, Neuschwändi",8502924
"Sils/Segl Baselgia, Chesa Randolina",8509313
"Vex, Sindy",8570893
"Ursenbach, Hofen",8571551
Brünnemoos b. Rosshäusern,8575837
"Abtwil SG, St. Josefen",8589908
"Leuzigen, Schulhaus",8589918
"Dörflingen, Neuhus",8589950
"Dintikon, Schule",8590226
"St. Gallen, Hinterbergstrasse",8589901
"Walliswil b. Wangen, Stalden",8589945
"St. Gallen, Oberhofstetten",8589907
"Dietikon, Marmori-Weiher",8590220
"Scherzingen, Kirche",8581718
"Ballwil, Hochdorfstrasse",8582044
"Gossau SG, Lindenhof",8582020
"Vaumarcus, milieu du village",8582050
Zermatt Joscht,8500334
"Fahrwangen, Bärenplatz",8578769
"Lenzburg, Kronenplatz",8578730
"Sarmenstorf, Vorstadt",8578773
"Bad Zurzach, Höfli",8578779
"Lenzburg, Beyeler",8578734
"Sarmenstorf, Altersheim",8578772
"Ammerswil AG, Dorfplatz",8578757
"Meisterschwanden, Schulhaus",8578766
"Bern, Tierpark",8590061
"Gossau SG, Bischofszellerstr.",8582023
"Porrentruy, Rue Merguin",8582034
"Yverdon-les-Bains, 14 Avril",8582051
Gletsch,8501635
"Lenzburg, Zeughaus",8578745
"Monti di Fosano, Monti",8505611
"Linden, Gridenbühl",8576616
"Furna, Abzw. Hasenhaus",8575073
Vorderrinderbach,8571532
"Glis, Polenstrasse",8578761
"Baldingen, Unterdorf",8578786
"Lenzburg, Langsamstig",8578738
"Glis, obere Haselgasse",8578762
"Porrentruy, Haute-Fin",8582131
"Flums, Galserschstrasse",8582091
"Wittnau, Erlenhof",8582073
"Buchs AG, Trieschweg",8590215
"Aarau Rohr, Gemeindehaus",8590257
"Lenzburg, Poststrasse",8590243
"Flumenthal, Post",8589921
"Lupfig, Trotte",8502704
"Buchs AG, Gysistrasse",8590211
"Solothurn, Kofmehl",8589922
"Ennetbaden, Schlieren",8590236
"Concise, Prise-Gaulaz",8570282
Cruina,8575695
"Gadmen, Feldmoos",8571607
"Hochwald, Ziegelschüren",8572209
"Beinwil SO, Bachmättli",8572190
"Gunzgen, Unterdorf",8578024
"Muttenz, Lutzert",8578196
"Liedertswil, Sixfeld",8578243
"Sissach, Sissacher Fluh",8578266
"Seedorf BE, Tannenmatte",8580776
"Wiedlisbach, Kirchgasse",8589947
"Aeschi SO, Ost",8589951
"Bronschhofen, Im Mösli",8589923
"Dintikon, Oberdorf",8590225
"Charmoille, douane",8572101
Vitznau RB,8505070
"Promontogno, Punt Spizarun",8582063
"Langenthal, Waldhof",8589943
"Dietikon, Kirchplatz",8590219
"Nussbaumen AG, Markthof",8590252
"Aarau Rohr, Salamatt",8590260
"Dietikon, Bahnhofstrasse",8590217
Sargans Nord,8515468
"Ennetbaden, Aeusserer Berg",8590227
"Walenstadtberg, Alpenblick",8578573
"Walterswil BE, Neuweid",8571556
"Heimisbach, Thal",8571545
Zweisimmen Gleisende,8517510
"Schützengarten, Bahnhof",8510124
"Lengnau AG, Abzw. Husen",8572584
"Mellikon, Chessel",8572593
"Untersiggenthal, Schönegg",8572577
"Berikon, Mattenhof",8572598
"Ehrendingen, Niedermatt",8572583
Lai Alv (Gendusas),8531068
"Schafisheim, Talhard",8590262
"Ennetbaden, Schiefe Brücke",8590235
"Ennetbaden, Rebhalde",8590234
"Hergiswil NW, Althuserbrücke",8506240
"Arogno, Paese",8505967
Hoher Kasten,8506262
"Stans, Bahnhof",8508896
"Jens, Birkenweg",8582071
"Ennetmoos, Abz. Vorsässstrasse",8582122
Gais,8506378
"Hägglingen, Schulhaus",8502752
"Homburg, Löhren",8502537
"Waldegg, Birmensdorferstrasse",8502559
"Merenschwand, Unterdorf",8502556
"Neuenhof, Kirchfeld",8590245
Lustdorf,8506886
"Neuenhof, Webermühle",8590250
"Wettingen, St. Sebastian",8590307
"Gossau SG, Fennhof",8590322
"Eschenbach SG, Dorftreff",8573860
"Riedern GL, Staldengarten",8573905
"Bettlach, Allmend",8593842
"Palézieux-Village, centre",8504789
"Unterseen, Neuhaus",8507187
"Ebnat-Kappel, Kapplerhof",8578588
"Wil SG, Lenzenbüel",8578598
"Wil SG, Psychiatrie",8578597
"Sirnach, Breite",8578617
"Tinizong, Curtinatsch",8582067
"Schiers, Schulhaus Feld",8582203
"Les Brenets, centre village",8582534
"Möhlin, Bäumlimatt Mitte",8582259
"Sonvilier, collège",8506536
"Dotnacht, Dorfplatz",8506556
"Suhr, Lindenfeld",8590286
"Wettingen, Langenstein",8590300
"Willigen, Unterdorf",8581908
"Eschenbach SG, Bildstöckli",8581903
"Vrin, S. Giusep",8581956
"Chamoson, cimetière",8582221
"Bern, Hüsliacker",8582555
"Suhr, Grillenweg",8590285
"Spreitenbach, Rotzenbühl",8590278
"Aarau Rohr, Rigistrasse",8590259
"Näfels, Freulerpalast",8573886
"Stäfa, Mühlehölzli",8503172
"Oftringen, Baslerstrasse",8572682
"Hinterforst, Oberrüti",8588221
"Stein AG, Kreuzstrasse",8511260
"Leutwil, Dorfplatz",8578715
"Belp, Muristrasse Süd",8588270
"Wünnewil, Pfaffenholz",8583457
"Sennwald, Kirche",8588235
"Thal, alte Post",8506777
Steinebrunn,8506397
"La Chaux-de-Fonds, La Joux-Perret",8593712
Heiden,8506355
Vögelinsegg,8506364
Steckborn (See),8506157
Schaffhausen (Schifflände),8506150
"Wil SG, Friedberg",8573912
"Cudrefin, Vers-chez-Jacot",8570529
"Nussbaumen AG, Breite",8572574
"Hombrechtikon, Grüt",8503164
"Wil SG, Kantonsschule",8578796
Steinerberg,8503280
Furi (Trockener Steg),8530881
"Wettingen, Winkelried",8590312
"Wabern, Lindenweg",8590087
"Lyss, Bahnhof Ost",8582619
"Bern, Scheibenrain",8590086
"Wettingen, Tägipark",8590311
"Züberwangen, Schulhaus",8573914
"Reinach AG, Beinwiler Höhe",8582549
"Burg AG, Hinterdorf",8582548
"Bad Ragaz, Tamina Therme",8582595
"Einsiedeln, Wäni",8582626
"Schönholzerswilen, Toos",8582606
"Biberstein, Post",8578663
"Himmelried, Dorf",8500981
Tschuggen (Arosa),8531055
"Delémont, gare CFF sud",8582587
Lüdem,8506179
Geimen,8505715
"Einsiedeln,Altersheim Langrüti",8582622
"Grindelwald, Mettenbergbrücke",8582481
"Schiers, Rossgasse",8582406
"Versoix, Saint-Loup",8595666
Alp Surlej (Curtinella),8500720
"Liesberg, Dorfplatz",8500689
"Grindelwald, Panorama",8582465
"Grindelwald, Gletscherschlucht",8582485
"Bern, Technologiepark",8590084
"Köniz, Weiermatt",8590098
"Liebefeld, Steinhölzli Märit",8590099
"Wabern, Weyerstrasse",8590103
"Bern, Schulhaus Wylergut",8590080
"Vuissens, poste",8504727
Fürten (Spw),8516855
"Apples, Hôtel de Commune",8570080
Schweizerhof,8506167
"Kreuzlingen, Zihlstrasse",8573409
Ocourt,8500653
"Epauvillers, poste",8500658
Courcelon,8500667
"Grindelwald, Steinbillen",8582475
"Vezia, Villa Negroni",8575315
"Schaan, Industriestrasse",8583503
"Aeugst a.A., Höchweg",8573733
"Bonstetten, Isenbach",8573729
"Schaffhausen, Rheinbühl",8573738
"Bonstetten, Lärchenhof",8573730
"Bad Ragaz, Fluppi",8582473
"Bad Ragaz, Maienfelderstrasse",8582493
"Bad Zurzach, RehaClinic",8582517
"Burtigny, Les Oches",8582794
"Elsau, Bettli",8582789
"Laax GR, Nagens",8582784
"Gossau SG, Bahnhof",8573945
"Zürich Wiedikon, Bahnhof",8573710
Satigny,8501003
"Erlinsbach, Rössli",8578650
"Dussnang, Tannegg",8578632
Barmelweid,8578657
"Niederwangen, Guetmatt",8590082
"Ramsen, Dorf",8573754
"Bad Zurzach, Fliederweg",8582511
"Avers, Cröt",8574728
Mezzovico (c bin),8505248
San Bernardino El Frach,8500347
Leissigbad (Agl),8507498
"Bern, Wylerhuus",8590085
"Köniz, Mösliweg",8590097
"Bern, Hohliebi",8590081
"Gossau SG, Hofegg",8590332
"Bern, Dennigkofengässli",8590093
"Bichwil, Dorf",8573941
"Erlinsbach, Rebberg",8578646
"Aarau, Alte Badanstalt",8578645
"Baden, Ifang",8578671
"Erlinsbach, Abzw. Hard",8578655
"Valbella, Posthotel",8582828
"Klosters, Kraftwerk",8582861
"Falera, Via Fuorns",8582895
"Wasserauen, Bahnhof",8582882
"Aeschiried, Fuchsgraben",8582876
"Schwende, Bahnhof",8582881
"Yvonand, En Brit",8582675
"Rolle, Quatre-Communes",8582688
"Mörigen, Bahnhof",8582685
"Dättwil AG, Kantonsspital",8578681
"Brione s. Minusio, Ai Fanghi",8578966
"Muralto, Casa S. Agnese",8578957
"Gersau, Kindli-Strandbad",8577445
"Dietwil, Kirchenplatz",8577140
"Ibach, Eigenwies",8577429
"Aarau, Neumattstrasse",8590151
"Provence, poste",8507955
"Däniken, Ettenberg",8582681
"Sutz, Bahnhof",8582704
"Scharans, Altersheim",8582716
"Bursins, Bourdouzan",8582697
"Ebligen, Bahnhof",8582707
Les Salines,8530067
"Bevaix, Les Jonchères",8579654
"Hasle LU, Sandboden",8579709
"Scuol, Clozza",8579689
"Kloten, Chanzler",8579969
"Sempach Stadt, Seemätteli",8580010
"Agarone, Paese",8580028
"Corcelles NE, rue à Jean",8580772
"Igis, Dorfplatz",8580810
"Iseltwald, Unterschwand",8580817
"Scuol, Pratuor",8582930
"Fontenais, les Rochets",8582986
"Zizers, Schule Feld",8582985
"Oberriet SG, Rathaus",8587404
"Bern, Elfenau",8590063
"Baar, Geissbüel",8507268
Klingenstock,8530839
"Willerzell, Tschuppmoos",8573780
"Reinach AG, Hochhaus",8580821
"Murgenthal, Bahnhof",8580819
Parsennhütte,8530535
"Penthéréaz, village",8570192
"Vandoeuvres, Loveré",8593134
"Ziegelbrücke, Bahnhof Süd",8595640
"Aarau, General Guisanstrasse",8590143
"Aarau, Buchenhof",8590136
"Aarau, Ifang",8590148
"Aarau, Tannerstrasse",8590155
"Montlingen, Letzau",8588227
"Rüti ZH, Pilgerhof",8588041
"Giubiasco, Via Bellinzona",8582991
"Savognin, Strada",8583645
"Savognin, Canetel",8583644
Tüscherz,8504229
"Villarlod, poste",8504097
"Bonnefontaine, village",8504946
"Baden, Baregg",8590166
"Bern, Zentrum Paul Klee",8590127
"Bernex, Cressy",8592755
"Schwenden i.D., Fildrichbrücke",8581017
Sorengo,8505399
"Schlossrued, Klack",8502591
St. Niklaus SO,8500487
"Langendorf, Chutz",8500490
"Münsingen, Rosenweg",8578952
"Pfäffikon SZ, Buchberg",8573803
"Lutzenberg, Hellbüchel",8574088
"Affoltern a.A., Stigeli",8502574
"Schöftland, Sandplatten",8502590
"Vinzel, village",8500732
Oberalppass (Talstat. Calmut),8500723
Vers-Cort,8504661
"Erlach, Oberstufenschule",8580366
"Nyon, Les Jouvencelles",8593888
"St. Gallen, Dreilinden",8502613
"Weinfelden, Wilerstrasse",8502585
La Jorette,8530057
"Wald ZH, Pflegezentrum",8581103
